id,opened,opened_ms,kind,coin,round,side,price,qty,stake,fee,fair,t_left,settled,settled_ms,winner,payout,pnl,pnl_pct,result,resolved_by
133,2026-09-23 21:47:24,1790192844395,fair,btc,1790192700,Up,0.63,5.6201,3.6324,0.0917,0.6986,757,2026-09-23 22:02:59,1790193779650,Up,5.6201,1.9877,54.72,won,polymarket
134,2026-09-23 21:59:19,1790193559377,diparb_leg1,btc,1790192700,Up,0.75,20.0,15.2625,0.2625,,42,2026-09-23 22:02:59,1790193779651,Up,20.0,4.7375,31.04,won,polymarket
132,2026-09-23 21:46:29,1790192789327,fair,eth,1790192700,Up,0.65,5.4612,3.6367,0.087,0.7521,812,2026-09-23 22:02:59,1790193779872,Up,5.4612,1.8245,50.17,won,polymarket
135,2026-09-23 21:57:59,1790193479388,diparb_leg1,eth,1790192700,Down,0.13,20.0,2.75834,0.15834,,122,2026-09-23 22:02:59,1790193779872,Up,0.0,-2.7583,-100.0,lost,polymarket
136,2026-09-23 22:01:04,1790193664371,fair,btc,1790193600,Down,0.37,8.4884,3.2792,0.1385,0.4721,836,2026-09-23 22:18:59,1790194739718,Down,8.4884,5.2092,158.86,won,polymarket
137,2026-09-23 22:01:04,1790193664373,fair,eth,1790193600,Down,0.41,5.0,2.1347,0.0847,0.5486,836,2026-09-23 22:18:59,1790194739929,Down,5.0,2.8653,134.22,won,polymarket
138,2026-09-23 22:13:24,1790194404474,diparb_leg1,eth,1790193600,Up,0.09,20.0,1.91466,0.11466,,96,2026-09-23 22:18:59,1790194739930,Down,0.0,-1.9147,-100.0,lost,polymarket
139,2026-09-23 22:16:04,1790194564474,fair,btc,1790194500,Up,0.54,6.2211,3.4676,0.1082,0.6337,836,2026-09-23 22:33:59,1790195639789,Down,0.0,-3.4676,-100.0,lost,polymarket
140,2026-09-23 22:16:04,1790194564476,fair,eth,1790194500,Up,0.6,5.6131,3.4622,0.0943,0.6882,836,2026-09-23 22:34:00,1790195640003,Down,0.0,-3.4622,-100.0,lost,polymarket
141,2026-09-23 22:31:04,1790195464519,fair,btc,1790195400,Down,0.24,15.3198,3.8723,0.1956,0.3405,836,2026-09-23 22:48:59,1790196539902,Up,0.0,-3.8723,-100.0,lost,polymarket
142,2026-09-23 22:31:04,1790195464521,fair,eth,1790195400,Down,0.24,15.2811,3.8626,0.1951,0.3848,836,2026-09-23 22:49:00,1790196540121,Up,0.0,-3.8626,-100.0,lost,polymarket
144,2026-09-23 22:48:04,1790196484576,fair,btc,1790196300,Down,0.64,5.3503,3.5105,0.0863,0.7051,716,2026-09-23 23:03:59,1790197439901,Down,5.3503,1.8398,52.41,won,polymarket
143,2026-09-23 22:46:54,1790196414583,fair,eth,1790196300,Down,0.5,6.7951,3.5165,0.1189,0.5657,786,2026-09-23 23:04:00,1790197440123,Down,6.7951,3.2786,93.23,won,polymarket
146,2026-09-23 23:01:14,1790197274626,fair,btc,1790197200,Down,0.43,7.0082,3.1338,0.1202,0.4902,826,2026-09-23 23:19:00,1790198340011,Up,0.0,-3.1338,-100.0,lost,polymarket
145,2026-09-23 23:01:04,1790197264652,fair,eth,1790197200,Down,0.51,5.9507,3.139,0.1041,0.5986,836,2026-09-23 23:19:00,1790198340294,Up,0.0,-3.139,-100.0,lost,polymarket
147,2026-09-23 23:13:24,1790198004684,diparb_leg1,eth,1790197200,Down,0.04,20.0,0.8537600000000001,0.05376,,96,2026-09-23 23:19:00,1790198340295,Up,0.0,-0.8538,-100.0,lost,polymarket
148,2026-09-23 23:21:44,1790198504739,fair,btc,1790198100,Down,0.6,5.0122,3.0915,0.0842,0.6649,496,2026-09-23 23:35:00,1790199300048,Up,0.0,-3.0915,-100.0,lost,polymarket
150,2026-09-23 23:28:29,1790198909762,diparb_leg1,btc,1790198100,Down,0.08,20.0,1.70304,0.10304,,91,2026-09-23 23:35:00,1790199300049,Up,0.0,-1.703,-100.0,lost,polymarket
149,2026-09-23 23:27:59,1790198879731,fair,eth,1790198100,Down,0.23,5.0,1.212,0.062,0.2867,121,2026-09-23 23:35:00,1790199300266,Up,0.0,-1.212,-100.0,lost,polymarket
151,2026-09-23 23:28:24,1790198904793,diparb_leg1,eth,1790198100,Down,0.22,20.0,4.64024,0.24024,,96,2026-09-23 23:35:00,1790199300267,Up,0.0,-4.6402,-100.0,lost,polymarket
